                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5133,                 3.4872,                 1.4563,                0.33495,                0.12943,                0.08322,                0.04972,                 1.4158,                 2.7798,                 1.4726,              0.0033277,              0.0033277,              0.0033277
                      2,                 1.4894,                 2.5265,                 1.4467,                0.27485,                0.21178,                0.14072,                0.08787,                 1.4333,                 2.4293,                 1.4229,               0.006628,               0.006628,               0.006628
                      3,                 1.5379,                 2.4362,                 1.4704,                0.32666,                0.18453,                0.13691,                0.08113,                  1.555,                 2.4163,                 1.5005,              0.0098954,              0.0098954,              0.0098954
                      4,                 1.5748,                 2.3942,                 1.4957,                0.26448,                0.22573,                0.16195,                0.09774,                  1.484,                 2.2886,                 1.4847,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5339,                 2.2803,                 1.4718,                 0.2585,                0.24284,                0.19568,                0.12062,                 1.4529,                 2.1655,                 1.4703,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5165,                 2.1947,                 1.4599,                0.33503,                0.27074,                0.20994,                0.12849,                 1.4303,                 2.0944,                  1.424,               0.009802,               0.009802,               0.009802
                      7,                 1.4936,                 2.1172,                 1.4423,                0.29921,                0.27054,                0.21795,                0.13484,                 1.4064,                 2.1294,                 1.4237,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.467,                 2.0529,                   1.43,                0.35602,                0.30064,                0.23904,                0.14984,                 1.3828,                 1.9872,                 1.4024,               0.009703,               0.009703,               0.009703
                      9,                 1.4509,                 2.0155,                 1.4205,                0.33212,                0.31833,                0.26311,                0.16674,                 1.3591,                 1.9367,                 1.3798,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.4393,                 1.9739,                 1.4092,                0.34779,                 0.3052,                0.25852,                0.16373,                 1.3487,                 1.9454,                 1.3844,               0.009604,               0.009604,               0.009604
                     11,                 1.4295,                 1.9374,                 1.4013,                0.34732,                0.31228,                0.26224,                0.16758,                 1.3478,                 1.9128,                 1.3652,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4188,                 1.9172,                 1.3965,                0.36791,                0.32265,                0.28738,                0.18501,                 1.3294,                 1.8428,                 1.3515,               0.009505,               0.009505,               0.009505
                     13,                 1.4194,                  1.907,                 1.3926,                0.34506,                0.32265,                0.27182,                0.17087,                 1.3369,                  1.902,                 1.3619,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.398,                 1.8741,                 1.3832,                0.38223,                 0.3291,                0.29391,                0.19192,                 1.3038,                 1.8154,                  1.351,               0.009406,               0.009406,               0.009406
                     15,                 1.3936,                 1.8498,                 1.3762,                0.38346,                0.34758,                0.31067,                0.20156,                 1.2944,                 1.7951,                 1.3328,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.3839,                 1.8332,                 1.3738,                0.42956,                0.34084,                0.30955,                0.20039,                 1.3068,                 1.8038,                 1.3535,               0.009307,               0.009307,               0.009307
                     17,                 1.3765,                 1.8178,                 1.3679,                0.40611,                0.35242,                0.31732,                0.20723,                 1.3057,                 1.7798,                 1.3475,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3593,                 1.7888,                 1.3575,                0.38966,                0.36844,                0.31658,                0.20758,                 1.2855,                  1.777,                 1.3351,               0.009208,               0.009208,               0.009208
                     19,                 1.3667,                 1.7806,                 1.3602,                0.43448,                0.35894,                0.32898,                0.22067,                 1.2758,                 1.7421,                 1.3251,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3596,                 1.7778,                 1.3566,                0.43649,                0.38438,                0.34429,                0.22491,                 1.2699,                  1.718,                 1.3115,               0.009109,               0.009109,               0.009109
                     21,                 1.3479,                 1.7591,                 1.3475,                 0.4234,                 0.3601,                0.32843,                0.21706,                 1.2738,                 1.7174,                  1.319,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3504,                 1.7505,                 1.3493,                0.45945,                0.37077,                0.34408,                0.22865,                 1.2712,                 1.6883,                 1.3103,                0.00901,                0.00901,                0.00901
                     23,                 1.3504,                  1.741,                 1.3479,                0.42418,                0.36388,                0.33906,                 0.2237,                 1.2546,                 1.7064,                 1.3098,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3403,                  1.724,                 1.3399,                0.42521,                0.37896,                0.34315,                0.22897,                 1.2459,                 1.6688,                 1.3026,               0.008911,               0.008911,               0.008911
                     25,                 1.3376,                 1.7168,                 1.3382,                 0.4361,                0.38459,                0.35421,                0.23558,                 1.2431,                 1.6785,                 1.3082,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3278,                 1.7038,                  1.338,                0.44152,                 0.3655,                0.35108,                 0.2308,                 1.2405,                 1.6598,                 1.3032,               0.008812,               0.008812,               0.008812
                     27,                 1.3238,                 1.6973,                 1.3319,                0.44252,                0.39663,                0.36363,                0.24253,                 1.2193,                 1.6524,                 1.2845,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3255,                 1.6737,                 1.3305,                0.44144,                0.39759,                0.36822,                0.24643,                 1.2309,                 1.6308,                 1.2911,               0.008713,               0.008713,               0.008713
                     29,                 1.3195,                 1.6763,                 1.3301,                0.44835,                0.40408,                0.37578,                0.25287,                 1.2267,                 1.6233,                  1.292,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.3103,                 1.6651,                 1.3238,                0.45177,                0.40223,                0.37967,                0.25419,                 1.2263,                 1.6119,                 1.2871,               0.008614,               0.008614,               0.008614
                     31,                 1.3141,                 1.6543,                 1.3219,                0.45377,                0.40508,                0.37944,                0.25509,                 1.2081,                 1.5976,                 1.2775,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.3113,                 1.6557,                 1.3208,                0.46813,                0.38614,                0.37468,                0.25232,                 1.2112,                 1.6058,                 1.2758,               0.008515,               0.008515,               0.008515
                     33,                 1.3099,                 1.6414,                 1.3162,                 0.4738,                0.39081,                0.38734,                 0.2621,                 1.2112,                  1.591,                 1.2785,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2971,                 1.6314,                  1.311,                0.46102,                0.39112,                0.38177,                0.26021,                  1.206,                 1.5851,                 1.2723,               0.008416,               0.008416,               0.008416
                     35,                 1.3014,                 1.6238,                  1.311,                0.48179,                0.40005,                0.39102,                0.26408,                  1.206,                 1.5937,                  1.269,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2972,                 1.6214,                 1.3119,                0.48654,                0.41074,                0.40194,                 0.2755,                 1.1917,                 1.5598,                 1.2712,               0.008317,               0.008317,               0.008317
                     37,                 1.2944,                 1.6207,                 1.3098,                0.48828,                0.40717,                0.40311,                0.27366,                 1.1957,                 1.5702,                 1.2709,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2919,                 1.6101,                 1.3074,                0.49237,                0.42051,                0.40956,                0.27824,                 1.1904,                 1.5565,                 1.2685,               0.008218,               0.008218,               0.008218
                     39,                 1.2877,                 1.5968,                 1.3037,                0.49243,                0.41756,                0.40903,                0.28112,                 1.1859,                 1.5418,                 1.2678,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2802,                 1.5894,                 1.3004,                0.47341,                 0.4237,                 0.4073,                0.27952,                 1.1806,                  1.543,                 1.2571,               0.008119,               0.008119,               0.008119
                     41,                 1.2826,                 1.5932,                 1.3038,                0.48856,                0.43082,                0.40902,                 0.2782,                 1.1797,                 1.5459,                 1.2588,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.278,                 1.5852,                 1.2992,                0.47682,                0.41923,                0.41286,                0.28434,                 1.1814,                  1.529,                 1.2545,                0.00802,                0.00802,                0.00802
                     43,                  1.281,                 1.5771,                 1.2971,                0.50626,                0.41481,                0.41332,                0.28365,                 1.1833,                 1.5288,                 1.2596,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2725,                 1.5693,                 1.2933,                0.50473,                0.42118,                 0.4131,                0.28478,                 1.1784,                 1.5226,                 1.2595,               0.007921,               0.007921,               0.007921
                     45,                 1.2709,                 1.5606,                 1.2942,                0.46538,                0.42958,                0.41048,                0.27974,                   1.18,                 1.5209,                  1.259,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2678,                 1.5703,                 1.2906,                0.47835,                0.43213,                  0.418,                0.28853,                 1.1668,                 1.5179,                 1.2504,               0.007822,               0.007822,               0.007822
                     47,                 1.2687,                 1.5539,                 1.2924,                0.49605,                0.42942,                0.41817,                0.28639,                 1.1686,                  1.514,                 1.2517,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.2666,                 1.5532,                   1.29,                0.48836,                 0.4392,                0.42195,                0.29283,                 1.1654,                 1.5047,                 1.2471,               0.007723,               0.007723,               0.007723
                     49,                 1.2627,                 1.5432,                 1.2877,                0.49123,                 0.4343,                0.42336,                0.29286,                  1.162,                 1.5072,                 1.2479,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2558,                  1.547,                 1.2868,                0.51284,                0.42341,                0.42305,                0.29405,                 1.1608,                 1.4976,                 1.2492,               0.007624,               0.007624,               0.007624
                     51,                 1.2655,                 1.5347,                 1.2857,                0.49505,                0.44277,                0.42397,                0.29385,                 1.1587,                 1.5016,                 1.2442,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2596,                 1.5362,                 1.2833,                0.51871,                0.43137,                0.42967,                0.30069,                 1.1543,                 1.4921,                 1.2416,               0.007525,               0.007525,               0.007525
                     53,                 1.2579,                 1.5298,                 1.2845,                0.50987,                0.44404,                0.43182,                0.30215,                 1.1558,                 1.4867,                 1.2411,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2542,                 1.5192,                 1.2801,                0.50256,                0.42162,                0.42568,                0.29595,                 1.1545,                 1.4885,                 1.2414,               0.007426,               0.007426,               0.007426
                     55,                 1.2531,                 1.5244,                  1.279,                0.49271,                0.44149,                0.43042,                0.29897,                 1.1551,                 1.4806,                 1.2423,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2489,                 1.5136,                  1.278,                0.51552,                0.43137,                0.43238,                 0.3021,                 1.1535,                 1.4818,                 1.2428,               0.007327,               0.007327,               0.007327
                     57,                 1.2494,                 1.5066,                 1.2765,                0.50684,                0.44142,                0.43577,                0.30327,                 1.1499,                 1.4797,                 1.2378,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2474,                   1.51,                 1.2781,                 0.5148,                0.43889,                0.43174,                0.30318,                 1.1502,                  1.479,                 1.2374,               0.007228,               0.007228,               0.007228
                     59,                 1.2433,                 1.5027,                  1.271,                0.51335,                0.44445,                0.43426,                0.30566,                 1.1481,                 1.4712,                 1.2352,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2407,                 1.4905,                 1.2711,                0.51077,                0.44232,                0.43742,                0.30649,                 1.1426,                 1.4716,                 1.2327,               0.007129,               0.007129,               0.007129
                     61,                 1.2368,                 1.4907,                 1.2697,                0.51147,                0.43662,                0.43576,                0.30649,                 1.1462,                 1.4666,                 1.2334,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.2411,                  1.491,                 1.2719,                0.51282,                0.43993,                0.43848,                0.30763,                 1.1485,                 1.4648,                 1.2365,                0.00703,                0.00703,                0.00703
                     63,                 1.2437,                 1.4829,                 1.2687,                 0.5158,                 0.4478,                0.43967,                0.31017,                 1.1462,                 1.4599,                 1.2344,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.2403,                 1.4821,                 1.2692,                0.49776,                0.45592,                0.43895,                0.30974,                 1.1442,                 1.4608,                 1.2319,               0.006931,               0.006931,               0.006931
                     65,                 1.2342,                 1.4688,                 1.2692,                0.51588,                0.45501,                0.43958,                0.30939,                 1.1411,                 1.4601,                 1.2313,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2325,                 1.4716,                 1.2654,                0.51723,                0.45306,                 0.4417,                0.31068,                 1.1394,                 1.4575,                 1.2287,               0.006832,               0.006832,               0.006832
                     67,                 1.2303,                 1.4658,                  1.263,                0.52623,                0.45123,                0.44781,                0.31519,                 1.1387,                 1.4515,                 1.2288,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2293,                 1.4645,                 1.2665,                0.51143,                0.44816,                0.44567,                0.31485,                 1.1396,                 1.4503,                 1.2313,               0.006733,               0.006733,               0.006733
                     69,                 1.2249,                 1.4524,                 1.2622,                 0.5223,                0.43775,                0.44302,                0.31116,                 1.1431,                 1.4542,                 1.2332,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2255,                 1.4515,                 1.2575,                 0.5409,                0.42969,                0.44293,                0.31031,                 1.1417,                 1.4543,                 1.2315,               0.006634,               0.006634,               0.006634
                     71,                 1.2216,                 1.4493,                 1.2598,                0.51453,                0.43791,                0.44282,                0.31167,                 1.1382,                 1.4532,                 1.2295,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.2184,                 1.4503,                 1.2546,                0.52941,                0.44198,                0.44536,                0.31319,                 1.1387,                 1.4524,                 1.2292,               0.006535,               0.006535,               0.006535
